"fem.ex","male.ex","country","year","age"
44.2738915986977,38.2641468622027,"Czechia","1999-2003",35
42.1318829774512,32.8158796708763,"Estonia","1988-2002",35
46.2578070725725,39.6840342261303,"Finland","1991-2001",35
48.0344540762995,40.8660740940708,"France","1991-1999",35
46.7500400225195,41.6378457970972,"Norway","1991-2001",35
51.7229628577505,47.7639524028148,"Denmark","2009-2010",30
32.4798683179806,28.942960405139,"Denmark","2009-2010",50
19.5057047272983,16.8188933830925,"Denmark","2009-2010",65
52.8265677284425,48.989225486034,"Denmark","2011-2015",30
33.4775514284672,30.0243164603939,"Denmark","2011-2015",50
20.3458802686818,17.6435781991685,"Denmark","2011-2015",65
