"sex","year","LEnew","age","country"
"f","2011",61.4635058021781,"25-29","Australia"
"m","2011",58.1398063478585,"25-29","Australia"
"f","2012",59.3324262648477,"25-29","Austria"
"m","2012",54.3244835086352,"25-29","Austria"
"f","1981",53.367121177105,"25-29","Austria"
"m","1981",46.6676275029786,"25-29","Austria"
"f","1991",55.5938711658235,"25-29","Austria"
"m","1991",48.9268756252084,"25-29","Austria"
"f","2001",57.7313278160246,"25-29","Austria"
"m","2001",51.7321653455812,"25-29","Austria"
"f","2011",60.5669111047143,"25","Belgium"
"f","2011",55.6847529203824,"30","Belgium"
"f","2011",35.6162499621944,"50","Belgium"
"f","2011",21.9473974509453,"65","Belgium"
"m","2011",55.0447276122406,"25","Belgium"
"m","2011",50.4337612776008,"30","Belgium"
"m","2011",30.9919991211561,"50","Belgium"
"m","2011",18.4166900501751,"65","Belgium"
"f","2011",60.1977988352581,"25-29","Canada"
"m","2011",56.3528854818102,"25-29","Canada"
"f","1999-2003",47.0241544649211,"35-39","Czechia"
"m","1999-2003",42.5690281446398,"35-39","Czechia"
"f","2009-2010",53.2316751066489,"30-34","Denmark"
"f","2009-2010",33.3588687488328,"50-54","Denmark"
"f","2009-2010",19.9294969799832,"65-69","Denmark"
"m","2009-2010",48.2553310833098,"30-34","Denmark"
"m","2009-2010",29.0451345818011,"50-54","Denmark"
"m","2009-2010",16.8676833925079,"65-69","Denmark"
"f","2011-2015",54.5476436634874,"30-34","Denmark"
"f","2011-2015",34.560302152211,"50-54","Denmark"
"f","2011-2015",20.98890750281,"65-69","Denmark"
"m","2011-2015",49.8836658664182,"30-34","Denmark"
"m","2011-2015",30.476784650987,"50-54","Denmark"
"m","2011-2015",17.9637237718883,"65-69","Denmark"
"f","2001-2005",51.6662305368387,"30-34","Denmark"
"f","2001-2005",32.2264224066767,"50-54","Denmark"
"f","2001-2005",18.8320723568914,"65-69","Denmark"
"m","2001-2005",46.8551998574513,"30-34","Denmark"
"m","2001-2005",28.1923597082983,"50-54","Denmark"
"m","2001-2005",15.8057884816431,"65-69","Denmark"
"f","1988-2002",45.5526536088006,"35-39","Estonia"
"m","1988-2002",37.42778026062,"35-39","Estonia"
"f","2010",59.434899704787,"25-29","Finland"
"m","2010",52.7216130212144,"25-29","Finland"
"f","1991-2001",47.3534716604007,"35-39","Finland"
"m","1991-2001",40.8540688894465,"35-39","Finland"
"f","1991-1999",48.6651776887601,"35-39","France"
"m","1991-1999",41.576890261469,"35-39","France"
"f","2012",61.4347306643534,"25-29","France"
"m","2012",55.6447051825317,"25-29","France"
"f","2008",60.3339801387138,"25-29","Israel"
"m","2008",56.3744287507847,"25-29","Israel"
"f","1991",53.2709169302831,"30-34","Italy"
"f","1991",32.7837677947557,"50-54","Italy"
"f","1991",19.3030201268236,"65-69","Italy"
"m","1991",46.790507077871,"30-34","Italy"
"m","1991",27.4754740485592,"50-54","Italy"
"m","1991",15.431119929855,"65-69","Italy"
"f","2011",58.8131352354594,"30-34","Italy"
"f","2011",37.9989275400046,"50-54","Italy"
"f","2011",22.7257661897337,"65-69","Italy"
"m","2011",53.5601404544038,"30-34","Italy"
"m","2011",33.3938464606595,"50-54","Italy"
"m","2011",19.3546276763368,"65-69","Italy"
"f","2012",61.1768033407081,"25-29","Italy"
"m","2012",56.3656701707037,"25-29","Italy"
"f","2011",55.8221737811604,"25-29","Latvia"
"m","2011",46.1181402253148,"25-29","Latvia"
"f","2001",47.9567536269883,"35-39","Lithuania"
"m","2001",37.7338463577276,"35-39","Lithuania"
"f","1991",57.300632720088,"25-29","Norway"
"f","2001",58.8380135940074,"25-29","Norway"
"m","1991",51.1164507651012,"25-29","Norway"
"m","2001",53.7341471478675,"25-29","Norway"
"f","1991-2001",47.4651987602188,"35-39","Norway"
"m","1991-2001",42.2380424685242,"35-39","Norway"
"f","2001",46.8956197719826,"35-39","Poland"
"m","2001",40.2045429878874,"35-39","Poland"
"f","2011",60.9798302435636,"25-29","Slovenia"
"m","2011",53.7639821550055,"25-29","Slovenia"
"f","2012-2015",51.1171458409447,"35-39","Spain"
"m","2012-2015",45.1229434367466,"35-39","Spain"
"f","1980-1989",46.5034820840483,"35-39","Spain"
"m","1980-1989",40.6649208227549,"35-39","Spain"
"f","2011",60.0519974755331,"25-29","Sweden"
"m","2011",56.219264632248,"25-29","Sweden"
"f","2001",54.3950501855683,"30-34","Sweden"
"f","2001",34.7919231513055,"50-54","Sweden"
"f","2001",20.8396992301548,"65-69","Sweden"
"m","2001",49.975176839898,"30-34","Sweden"
"m","2001",30.571271203728,"50-54","Sweden"
"m","2001",17.3581882187885,"65-69","Sweden"
"f","2011",55.410282469118,"30-34","Sweden"
"f","2011",35.5171918205209,"50-54","Sweden"
"f","2011",21.6139097145224,"65-69","Sweden"
"m","2011",51.841758664805,"30-34","Sweden"
"m","2011",32.1449645332327,"50-54","Sweden"
"m","2011",18.83355992669,"65-69","Sweden"
"f","1991-2001",48.7335662057815,"35-39","Switzerland"
"m","1991-2001",43.3850507651642,"35-39","Switzerland"
"f","1990",50.1771757044934,"30-34","US"
"f","1990",31.3347579338813,"50-54","US"
"f","1990",18.9815251337635,"65-69","US"
"m","1990",44.2389571563178,"30-34","US"
"m","1990",26.4610418944572,"50-54","US"
"m","1990",15.0816118962666,"65-69","US"
"f","2010",52.9645419185166,"30-34","US"
"f","2010",33.795502834556,"50-54","US"
"f","2010",20.7325380819797,"65-69","US"
"m","2010",48.3663823045034,"30-34","US"
"m","2010",30.0019823695532,"50-54","US"
"m","2010",18.1499030981636,"65-69","US"
