"sex","edu","age","n","nall","prev"
"f","1","30-34",51350,340838,0.150658083899096
"f","1","50-54",99897,353414,0.282662826034056
"f","1","65-69",134693,305793,0.440471168404771
"f","2","30-34",128449,340838,0.376862321689483
"f","2","50-54",133036,353414,0.376431041215119
"f","2","65-69",111998,305793,0.366254296206911
"f","3","30-34",161039,340838,0.472479594411421
"f","3","50-54",120481,353414,0.340906132750825
"f","3","65-69",59102,305793,0.193274535388318
"m","1","30-34",66135,339552,0.194771345773254
"m","1","50-54",90304,352165,0.256425255207076
"m","1","65-69",93864,290947,0.322615459172977
"m","2","30-34",157385,339552,0.463507798510979
"m","2","50-54",169091,352165,0.480147090142405
"m","2","65-69",130877,290947,0.449831068888835
"m","3","30-34",116032,339552,0.341720855715767
"m","3","50-54",92770,352165,0.263427654650519
"m","3","65-69",66206,290947,0.227553471938188
